,tract
"(133957313, <shapely.geometry.point.Point object at 0x1671c9ef0>)",7464.0
"(3953133260, <shapely.geometry.point.Point object at 0x1671c96a0>)",4600.0
"(3953133265, <shapely.geometry.point.Point object at 0x1671c9b38>)",4600.0
"(1773930239, <shapely.geometry.point.Point object at 0x1671c9e48>)",7424.0
"(1773930248, <shapely.geometry.point.Point object at 0x1671c9c88>)",7436.0
"(133957394, <shapely.geometry.point.Point object at 0x1671c93c8>)",7464.0
"(1773930260, <shapely.geometry.point.Point object at 0x1671c96d8>)",7436.0
"(1773930262, <shapely.geometry.point.Point object at 0x1671c9c18>)",7436.0
"(133957411, <shapely.geometry.point.Point object at 0x1671c9be0>)",7446.0
"(133957412, <shapely.geometry.point.Point object at 0x1671c9198>)",7446.0
"(133957455, <shapely.geometry.point.Point object at 0x1671c95f8>)",7451.0
"(133957462, <shapely.geometry.point.Point object at 0x1671c9cc0>)",7451.0
"(133957482, <shapely.geometry.point.Point object at 0x1671c9908>)",7409.0
"(134219638, <shapely.geometry.point.Point object at 0x1671c94e0>)",7443.0
"(134219696, <shapely.geometry.point.Point object at 0x1671c9438>)",7461.0
"(134219698, <shapely.geometry.point.Point object at 0x1671c95c0>)",7461.0
"(133957559, <shapely.geometry.point.Point object at 0x1671c9a20>)",7303.0
"(134219817, <shapely.geometry.point.Point object at 0x1671c9f28>)",2900.0
"(134219825, <shapely.geometry.point.Point object at 0x1671c9668>)",2900.0
"(134219882, <shapely.geometry.point.Point object at 0x1671c9358>)",6703.0
"(134219916, <shapely.geometry.point.Point object at 0x1671c9470>)",7448.0
"(134219924, <shapely.geometry.point.Point object at 0x1671c9748>)",7448.0
"(134219949, <shapely.geometry.point.Point object at 0x1671c9710>)",7448.0
"(134219956, <shapely.geometry.point.Point object at 0x1671c97f0>)",7448.0
"(133957827, <shapely.geometry.point.Point object at 0x1671c9780>)",4300.0
"(133957830, <shapely.geometry.point.Point object at 0x1671c9860>)",4300.0
"(134220017, <shapely.geometry.point.Point object at 0x1671c9828>)",300.0
"(134220056, <shapely.geometry.point.Point object at 0x1671c98d0>)",7441.0
"(4067952954, <shapely.geometry.point.Point object at 0x1671c9898>)",7444.0
"(133958072, <shapely.geometry.point.Point object at 0x1671c9978>)",7448.0
"(133958081, <shapely.geometry.point.Point object at 0x1671c99e8>)",7448.0
"(133958192, <shapely.geometry.point.Point object at 0x1671c9d68>)",5300.0
"(133958194, <shapely.geometry.point.Point object at 0x1671c94a8>)",5300.0
"(133958195, <shapely.geometry.point.Point object at 0x1671c92e8>)",5400.0
"(133958212, <shapely.geometry.point.Point object at 0x1671c99b0>)",5300.0
"(133958214, <shapely.geometry.point.Point object at 0x1671c9240>)",5400.0
"(133958207, <shapely.geometry.point.Point object at 0x1671c9a58>)",5300.0
"(133958217, <shapely.geometry.point.Point object at 0x1671c92b0>)",5400.0
"(133958211, <shapely.geometry.point.Point object at 0x1671c91d0>)",5300.0
"(133958223, <shapely.geometry.point.Point object at 0x1671c9208>)",5400.0
"(133958225, <shapely.geometry.point.Point object at 0x1671c9160>)",5400.0
"(133958227, <shapely.geometry.point.Point object at 0x1671c90f0>)",5400.0
"(133958230, <shapely.geometry.point.Point object at 0x1671c9b00>)",5400.0
"(133958235, <shapely.geometry.point.Point object at 0x1671c9390>)",5400.0
"(133958237, <shapely.geometry.point.Point object at 0x1671c90b8>)",5400.0
"(133958240, <shapely.geometry.point.Point object at 0x1671c9048>)",5901.0
"(133958233, <shapely.geometry.point.Point object at 0x1671c9128>)",5400.0
"(133958244, <shapely.geometry.point.Point object at 0x1671c9080>)",5901.0
"(133958247, <shapely.geometry.point.Point object at 0x1671c9400>)",5901.0
"(133958250, <shapely.geometry.point.Point object at 0x1671c9b70>)",5901.0
"(133958253, <shapely.geometry.point.Point object at 0x1671c9518>)",5901.0
"(133958256, <shapely.geometry.point.Point object at 0x1671c9cf8>)",5901.0
"(133958259, <shapely.geometry.point.Point object at 0x1671c9fd0>)",5901.0
"(133958262, <shapely.geometry.point.Point object at 0x1671c9d30>)",5901.0
"(133958266, <shapely.geometry.point.Point object at 0x1671c9e10>)",5901.0
"(133958272, <shapely.geometry.point.Point object at 0x1671c9550>)",5901.0
"(133958284, <shapely.geometry.point.Point object at 0x1671c9a90>)",6000.0
"(133958288, <shapely.geometry.point.Point object at 0x1671c9da0>)",6000.0
"(133958291, <shapely.geometry.point.Point object at 0x1671c9eb8>)",6000.0
"(134220436, <shapely.geometry.point.Point object at 0x1671c9ba8>)",6503.0
"(133958296, <shapely.geometry.point.Point object at 0x1671c9f98>)",6000.0
"(133958298, <shapely.geometry.point.Point object at 0x1671c9e80>)",6000.0
"(133958301, <shapely.geometry.point.Point object at 0x1671c37b8>)",6000.0
"(133958304, <shapely.geometry.point.Point object at 0x1671c37f0>)",6000.0
"(133958312, <shapely.geometry.point.Point object at 0x1671c3ac8>)",6102.0
"(133958320, <shapely.geometry.point.Point object at 0x1671c3f60>)",6101.0
"(133958322, <shapely.geometry.point.Point object at 0x1671c3e80>)",6101.0
"(133958326, <shapely.geometry.point.Point object at 0x1671c3dd8>)",6101.0
"(133958328, <shapely.geometry.point.Point object at 0x1671c3908>)",6101.0
"(133958337, <shapely.geometry.point.Point object at 0x1671c3a58>)",6101.0
"(133958334, <shapely.geometry.point.Point object at 0x1671c3d68>)",6101.0
"(133958341, <shapely.geometry.point.Point object at 0x1671c3c18>)",0.0
"(133958344, <shapely.geometry.point.Point object at 0x1671c3cf8>)",6101.0
"(133958347, <shapely.geometry.point.Point object at 0x1671c3da0>)",6101.0
"(133958349, <shapely.geometry.point.Point object at 0x1671c3e10>)",6102.0
"(133958351, <shapely.geometry.point.Point object at 0x1671c3eb8>)",6101.0
"(133958376, <shapely.geometry.point.Point object at 0x1671c3be0>)",6102.0
"(133958424, <shapely.geometry.point.Point object at 0x1671c3898>)",4900.0
"(133958426, <shapely.geometry.point.Point object at 0x1671c39e8>)",4900.0
"(133958429, <shapely.geometry.point.Point object at 0x1671c3978>)",4900.0
"(133958431, <shapely.geometry.point.Point object at 0x1671c3f28>)",4900.0
"(133958435, <shapely.geometry.point.Point object at 0x1671c3f98>)",0.0
"(133958447, <shapely.geometry.point.Point object at 0x1671c3c88>)",4900.0
"(134220591, <shapely.geometry.point.Point object at 0x1671c3c50>)",7433.0
"(133958456, <shapely.geometry.point.Point object at 0x1671c3ba8>)",5300.0
"(133958476, <shapely.geometry.point.Point object at 0x1671c3b00>)",4900.0
"(133958489, <shapely.geometry.point.Point object at 0x1671c3a90>)",7304.0
"(133958541, <shapely.geometry.point.Point object at 0x1671c3ef0>)",6804.0
"(133958549, <shapely.geometry.point.Point object at 0x1671c3b70>)",6804.0
"(133958603, <shapely.geometry.point.Point object at 0x1671c3d30>)",7464.0
"(134220747, <shapely.geometry.point.Point object at 0x1671c38d0>)",7464.0
"(134220769, <shapely.geometry.point.Point object at 0x1671c3940>)",800.0
"(133958628, <shapely.geometry.point.Point object at 0x1671d3668>)",7463.0
"(133958637, <shapely.geometry.point.Point object at 0x1671d3710>)",7463.0
"(133958644, <shapely.geometry.point.Point object at 0x1671d36a0>)",7463.0
"(133958655, <shapely.geometry.point.Point object at 0x1671d3780>)",7462.0
"(133958666, <shapely.geometry.point.Point object at 0x1671d3748>)",7462.0
"(134220836, <shapely.geometry.point.Point object at 0x1671d37f0>)",1600.0
"(134220852, <shapely.geometry.point.Point object at 0x1671d37b8>)",800.0
"(133958712, <shapely.geometry.point.Point object at 0x1671d3898>)",7462.0
"(133958723, <shapely.geometry.point.Point object at 0x1671d3828>)",7462.0
"(133958727, <shapely.geometry.point.Point object at 0x1671d3908>)",7463.0
"(134220880, <shapely.geometry.point.Point object at 0x1671d3be0>)",6701.0
"(133958737, <shapely.geometry.point.Point object at 0x1671d3978>)",7463.0
"(133958800, <shapely.geometry.point.Point object at 0x1671d3940>)",7441.0
"(133958811, <shapely.geometry.point.Point object at 0x1671d3a20>)",7446.0
"(133958816, <shapely.geometry.point.Point object at 0x1671d39b0>)",7446.0
"(1815612597, <shapely.geometry.point.Point object at 0x1671d3a90>)",7450.0
"(1815612614, <shapely.geometry.point.Point object at 0x1671d3a58>)",7451.0
"(1815612617, <shapely.geometry.point.Point object at 0x1671d3b00>)",7451.0
"(1815612620, <shapely.geometry.point.Point object at 0x1671d3ac8>)",7450.0
"(133958863, <shapely.geometry.point.Point object at 0x1671d3ba8>)",3100.0
"(1815612632, <shapely.geometry.point.Point object at 0x1671d3b38>)",7451.0
"(1815612637, <shapely.geometry.point.Point object at 0x1671d3c18>)",7451.0
"(1815612641, <shapely.geometry.point.Point object at 0x1671d3ef0>)",7451.0
"(1815612644, <shapely.geometry.point.Point object at 0x1671d3c88>)",7451.0
"(1815612653, <shapely.geometry.point.Point object at 0x1671d3c50>)",7451.0
"(3363835116, <shapely.geometry.point.Point object at 0x1671d3cf8>)",3700.0
"(133958899, <shapely.geometry.point.Point object at 0x1671d3cc0>)",3200.0
"(1815612671, <shapely.geometry.point.Point object at 0x1671d3d68>)",7451.0
"(1815612684, <shapely.geometry.point.Point object at 0x1671d3d30>)",7451.0
"(1775766795, <shapely.geometry.point.Point object at 0x1671d3e10>)",6505.0
"(1775766806, <shapely.geometry.point.Point object at 0x1671d3da0>)",6505.0
"(133958948, <shapely.geometry.point.Point object at 0x1671d3eb8>)",3200.0
"(1775766820, <shapely.geometry.point.Point object at 0x1671d3e48>)",6301.0
"(134221101, <shapely.geometry.point.Point object at 0x1671d3f28>)",7431.0
"(1775766833, <shapely.geometry.point.Point object at 0x1671d3f98>)",6301.0
"(133959042, <shapely.geometry.point.Point object at 0x1671d3f60>)",2900.0
"(133959069, <shapely.geometry.point.Point object at 0x1671d3518>)",0.0
"(134221213, <shapely.geometry.point.Point object at 0x1671d3fd0>)",7304.0
"(134221237, <shapely.geometry.point.Point object at 0x1671d3470>)",6202.0
"(134221247, <shapely.geometry.point.Point object at 0x1671d34e0>)",5200.0
"(134221253, <shapely.geometry.point.Point object at 0x1671d3400>)",5200.0
"(134221304, <shapely.geometry.point.Point object at 0x1671d3438>)",7303.0
"(134221349, <shapely.geometry.point.Point object at 0x1671d3390>)",7463.0
"(134221377, <shapely.geometry.point.Point object at 0x1671d33c8>)",7463.0
"(134221383, <shapely.geometry.point.Point object at 0x1671d3320>)",7463.0
"(134221398, <shapely.geometry.point.Point object at 0x1671d3358>)",7463.0
"(134221403, <shapely.geometry.point.Point object at 0x1671d35c0>)",7463.0
"(133959270, <shapely.geometry.point.Point object at 0x1671d32e8>)",3200.0
"(134221415, <shapely.geometry.point.Point object at 0x1671d3208>)",7448.0
"(134221421, <shapely.geometry.point.Point object at 0x1671d3278>)",7464.0
"(133959312, <shapely.geometry.point.Point object at 0x1671d3160>)",3200.0
"(133959381, <shapely.geometry.point.Point object at 0x1671d31d0>)",7424.0
"(133959397, <shapely.geometry.point.Point object at 0x1671d30f0>)",7424.0
"(133959424, <shapely.geometry.point.Point object at 0x1671d3128>)",7002.0
"(133959426, <shapely.geometry.point.Point object at 0x1671d3080>)",7002.0
"(6565400366, <shapely.geometry.point.Point object at 0x1671d30b8>)",500.0
"(133959471, <shapely.geometry.point.Point object at 0x1671d3048>)",3300.0
"(133959494, <shapely.geometry.point.Point object at 0x1671d32b0>)",3402.0
"(133959496, <shapely.geometry.point.Point object at 0x1671d3588>)",3402.0
"(133959499, <shapely.geometry.point.Point object at 0x1671d35f8>)",3402.0
"(133959501, <shapely.geometry.point.Point object at 0x1671d38d0>)",3402.0
"(133959507, <shapely.geometry.point.Point object at 0x1671d3630>)",3402.0
"(133959528, <shapely.geometry.point.Point object at 0x15d5764e0>)",3401.0
"(134221677, <shapely.geometry.point.Point object at 0x15d5763c8>)",7312.0
"(133959534, <shapely.geometry.point.Point object at 0x15d576438>)",3401.0
"(133959539, <shapely.geometry.point.Point object at 0x15d576358>)",3401.0
"(133959545, <shapely.geometry.point.Point object at 0x15d576390>)",3401.0
"(133959556, <shapely.geometry.point.Point object at 0x15d576710>)",3401.0
"(134221703, <shapely.geometry.point.Point object at 0x15d576320>)",6102.0
"(134221705, <shapely.geometry.point.Point object at 0x15d576240>)",6102.0
"(133959568, <shapely.geometry.point.Point object at 0x15d5762b0>)",3401.0
"(134221712, <shapely.geometry.point.Point object at 0x15d576198>)",6301.0
"(134221742, <shapely.geometry.point.Point object at 0x15d576208>)",200.0
"(133959602, <shapely.geometry.point.Point object at 0x15d576128>)",3401.0
"(133959610, <shapely.geometry.point.Point object at 0x15d576160>)",3401.0
"(133959665, <shapely.geometry.point.Point object at 0x15d5760b8>)",6906.0
"(133959673, <shapely.geometry.point.Point object at 0x15d5760f0>)",6906.0
"(133959678, <shapely.geometry.point.Point object at 0x15d576048>)",2400.0
"(133959680, <shapely.geometry.point.Point object at 0x15d576080>)",2400.0
"(133959685, <shapely.geometry.point.Point object at 0x15d5762e8>)",2400.0
"(133959688, <shapely.geometry.point.Point object at 0x15d56ef28>)",2400.0
"(133959692, <shapely.geometry.point.Point object at 0x15d56ee80>)",2400.0
"(133959704, <shapely.geometry.point.Point object at 0x15d56ec18>)",2400.0
"(133959712, <shapely.geometry.point.Point object at 0x15d56e9e8>)",2000.0
"(133959718, <shapely.geometry.point.Point object at 0x15d56e860>)",2000.0
"(133959722, <shapely.geometry.point.Point object at 0x15d56e630>)",2000.0
"(133959735, <shapely.geometry.point.Point object at 0x15d56e4a8>)",2400.0
"(133959736, <shapely.geometry.point.Point object at 0x15d56e400>)",2400.0
"(133959743, <shapely.geometry.point.Point object at 0x15d56e198>)",2400.0
"(133959750, <shapely.geometry.point.Point object at 0x15d56e0f0>)",2400.0
"(133959752, <shapely.geometry.point.Point object at 0x15d56efd0>)",2400.0
"(133959774, <shapely.geometry.point.Point object at 0x15d56eef0>)",2400.0
"(133959777, <shapely.geometry.point.Point object at 0x15d56ef60>)",2400.0
"(133959780, <shapely.geometry.point.Point object at 0x15d56ee48>)",2400.0
"(133959783, <shapely.geometry.point.Point object at 0x15d56eeb8>)",2000.0
"(133959789, <shapely.geometry.point.Point object at 0x15d56edd8>)",2000.0
"(133959810, <shapely.geometry.point.Point object at 0x15d56ee10>)",3401.0
"(133959815, <shapely.geometry.point.Point object at 0x15d56ed68>)",3500.0
"(133959817, <shapely.geometry.point.Point object at 0x15d56eda0>)",7002.0
"(133959819, <shapely.geometry.point.Point object at 0x15d56ecf8>)",7002.0
"(134221979, <shapely.geometry.point.Point object at 0x15d56ed30>)",3500.0
"(134221983, <shapely.geometry.point.Point object at 0x15d56ef98>)",3500.0
"(134221986, <shapely.geometry.point.Point object at 0x15d56ecc0>)",3500.0
"(134222035, <shapely.geometry.point.Point object at 0x15d56ebe0>)",7102.0
"(134222053, <shapely.geometry.point.Point object at 0x15d56ec50>)",7102.0
"(134222062, <shapely.geometry.point.Point object at 0x15d56eb38>)",4400.0
"(134222079, <shapely.geometry.point.Point object at 0x15d56eba8>)",7101.0
"(134222094, <shapely.geometry.point.Point object at 0x15d56eac8>)",7432.0
"(134222105, <shapely.geometry.point.Point object at 0x15d56eb00>)",7432.0
"(134222154, <shapely.geometry.point.Point object at 0x15d56ea58>)",7435.0
